subject,trial,channel,r2
Saharsh_13_Feb,1,acc_x,0.9878456345395182
Saharsh_13_Feb,1,gyro_y,0.9563104719576914
Saharsh_13_Feb,2,acc_x,0.9875164252219791
Saharsh_13_Feb,2,gyro_y,0.9739248303435571
Saharsh_13_Feb,3,acc_x,0.9922619775017828
Saharsh_13_Feb,3,gyro_y,0.9434086641621483
Saharsh_13_Feb,4,acc_x,0.9919651774151484
Saharsh_13_Feb,4,gyro_y,0.96301198590683
Saharsh_13_Feb,6,acc_x,0.9793479707223198
Saharsh_13_Feb,6,gyro_y,0.9541541136835253
Saharsh_13_Feb,7,acc_x,0.9883386434124967
Saharsh_13_Feb,7,gyro_y,0.9414630895355669
Saharsh_13_Feb,8,acc_x,0.9677998739929181
Saharsh_13_Feb,8,gyro_y,0.9045658945730116
Saharsh_13_Feb,9,acc_x,0.9879443052042701
Saharsh_13_Feb,9,gyro_y,0.8889746675090419
Saharsh_13_Feb,11,acc_x,0.9736425550844249
Saharsh_13_Feb,11,gyro_y,0.9815917992561601
Saharsh_13_Feb,12,acc_x,0.9788349703703466
Saharsh_13_Feb,12,gyro_y,0.9550488469113496
Saharsh_13_Feb,13,acc_x,0.9873229635979452
Saharsh_13_Feb,13,gyro_y,0.9511776118241941
Saharsh_13_Feb,14,acc_x,0.9807699342199561
Saharsh_13_Feb,14,gyro_y,0.9526638629825107
Saharsh_13_Feb,16,acc_x,0.9874279746245703
Saharsh_13_Feb,16,gyro_y,0.9467607983331185
Saharsh_13_Feb,17,acc_x,0.9919525758725124
Saharsh_13_Feb,17,gyro_y,0.9817599856659697
Saharsh_13_Feb,18,acc_x,0.9827581223409622
Saharsh_13_Feb,18,gyro_y,0.9786817648133294
Saharsh_13_Feb,19,acc_x,-296.8679851586247
Saharsh_13_Feb,19,gyro_y,0.5557808188259268
Saharsh_13_Feb,20,acc_x,0.9821250281318863
Saharsh_13_Feb,20,gyro_y,0.9489760649461672
Saharsh_13_Feb,21,acc_x,0.2071036889798482
Saharsh_13_Feb,21,gyro_y,0.21853657406001248
Saharsh_13_Feb,23,acc_x,0.8945945723485957
Saharsh_13_Feb,23,gyro_y,0.6455575319077883
Saharsh_13_Feb,24,acc_x,-0.10455749827481342
Saharsh_13_Feb,24,gyro_y,0.2160814554514252
Saharsh_13_Feb,25,acc_x,0.9369604726351282
Saharsh_13_Feb,25,gyro_y,0.34077389796151203
Saharsh_13_Feb,26,acc_x,-0.24597870991279325
Saharsh_13_Feb,26,gyro_y,-0.3423689071222338
Aabha_13_Feb,1,acc_x,0.7580580761706677
Aabha_13_Feb,1,gyro_y,0.981151888493686
Aabha_13_Feb,2,acc_x,0.9672426881081172
Aabha_13_Feb,2,gyro_y,0.9659732087302163
Aabha_13_Feb,3,acc_x,0.9761590620785947
Aabha_13_Feb,3,gyro_y,0.9794854189893494
Aabha_13_Feb,4,acc_x,0.9872335506196604
Aabha_13_Feb,4,gyro_y,0.9438891921164027
Aabha_13_Feb,5,acc_x,0.985519175421712
Aabha_13_Feb,5,gyro_y,0.9461205099295746
Aabha_13_Feb,7,acc_x,-124.86957083324181
Aabha_13_Feb,7,gyro_y,0.9117486887666394
Aabha_13_Feb,8,acc_x,0.9927700946974432
Aabha_13_Feb,8,gyro_y,0.9261210040238897
Aabha_13_Feb,9,acc_x,0.9683778542232244
Aabha_13_Feb,9,gyro_y,0.9500718801664398
Aabha_13_Feb,10,acc_x,0.9692772854181644
Aabha_13_Feb,10,gyro_y,0.949153093341293
Aabha_13_Feb,12,acc_x,0.9621253271325729
Aabha_13_Feb,12,gyro_y,0.9226004512540618
Aabha_13_Feb,13,acc_x,0.9718059189837694
Aabha_13_Feb,13,gyro_y,0.898201565113468
Aabha_13_Feb,14,acc_x,0.9867888305601126
Aabha_13_Feb,14,gyro_y,0.9616962960766519
Aabha_13_Feb,15,acc_x,-222.9957119064512
Aabha_13_Feb,15,gyro_y,0.05248204715458382
Aabha_13_Feb,16,acc_x,0.9861959562894873
Aabha_13_Feb,16,gyro_y,0.6807550761649956
Aabha_13_Feb,17,acc_x,0.9878842294485695
Aabha_13_Feb,17,gyro_y,0.9485412748968107
Aabha_13_Feb,18,acc_x,0.9821998271712005
Aabha_13_Feb,18,gyro_y,0.9839226164986695
Aabha_13_Feb,19,acc_x,0.9833700376216985
Aabha_13_Feb,19,gyro_y,0.96094776395597
Aabha_13_Feb,20,acc_x,0.932914676649295
Aabha_13_Feb,20,gyro_y,0.9797307162486636
Aabha_13_Feb,21,acc_x,-0.06773261844499201
Aabha_13_Feb,21,gyro_y,0.09407219095718666
Aabha_13_Feb,23,acc_x,0.9588998084194488
Aabha_13_Feb,23,gyro_y,0.5488317052026057
Aabha_13_Feb,24,acc_x,0.6471358594345292
Aabha_13_Feb,24,gyro_y,0.7447533800704831
Aabha_13_Feb,25,acc_x,0.9078386560903915
Aabha_13_Feb,25,gyro_y,0.2857448369416994
Aabha_13_Feb,26,acc_x,-903.1241250804106
Aabha_13_Feb,26,gyro_y,-30.882181232655892
