epoch,train_loss,val_loss,r2
1,0.24852062799748342,0.34505429009360067,0.5447090864181519
2,0.11787850423982948,0.20223857980589707,0.7378442287445068
3,0.08686711857463145,0.2676094703140755,0.6369686722755432
4,0.06306628868648201,0.2817523106391173,0.6170594692230225
5,0.05326093076046105,0.23374590291885314,0.6730533838272095
6,0.043787055026004267,0.21923372757872892,0.6974603533744812
7,0.04035034018811906,0.19102698207161453,0.7429056167602539
8,0.02837485876408922,0.3030083908287938,0.5793752670288086
9,0.05697378659751385,0.20305191753919474,0.7121483087539673
10,0.02460591244113863,0.3082509633630168,0.5685266256332397
11,0.02528879925561179,0.19205630283131328,0.7349714040756226
12,0.023332923449053886,0.27342205919152085,0.6158930659294128
13,0.019305573782296317,0.22158281237217273,0.6895503401756287
14,0.016374404826883678,0.2409885623113274,0.6621263027191162
15,0.01844845517319004,0.19834633538537377,0.7287660241127014
16,0.025076697411454598,0.21215067010746488,0.7009907364845276
17,0.013003369686520024,0.28687605791898485,0.5978990793228149
18,0.012350089637455857,0.24256234446426767,0.6600276231765747
19,0.011409766292852012,0.19393713195634962,0.7291660308837891
20,0.010511021654768164,0.21927299275777715,0.692625880241394
21,0.009636571915571098,0.23503750187431482,0.6712234020233154
22,0.009339224728073473,0.20508663418302095,0.7116580009460449
